Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
428,Kevin Pangos,PG,29,CLE,24,3,6.9,0.6,1.9,0.326,0.3,1.1,0.231,0.4,0.8,0.45,0.391,0.1,0.2,0.75,0.1,0.4,0.5,1.3,0.1,0,0.3,0.5,1.6
429,Jabari Parker,PF,26,BOS,12,0,9.3,1.5,3.2,0.474,0.7,1.3,0.5,0.8,1.8,0.455,0.579,0.8,0.8,1,0.4,1.9,2.3,0.5,0.3,0.1,0.7,1.1,4.4
430,Eric Paschall,PF,25,UTA,46,1,13,1.9,3.9,0.489,0.8,2,0.385,1.2,1.9,0.596,0.586,1.1,1.5,0.765,0.5,1.4,2,0.6,0.2,0.1,0.6,0.9,5.7
431,Chris Paul,PG,36,PHO,58,58,33,5.6,11.5,0.487,1,3.1,0.33,4.6,8.4,0.546,0.532,2.7,3.2,0.843,0.3,4.2,4.5,10.7,1.9,0.3,2.4,2,14.9
432,Cameron Payne,PG,27,PHO,43,3,21,4.1,10.1,0.403,1.1,3.4,0.333,2.9,6.7,0.439,0.46,1.5,1.7,0.853,0.4,2.3,2.7,4.1,0.6,0.3,1.9,2,10.8
433,Elfrid Payton,PG,27,PHO,40,0,11.6,1.5,3.7,0.395,0.1,0.4,0.25,1.4,3.3,0.412,0.408,0.3,0.7,0.393,0.5,1.4,1.9,2.1,0.5,0.1,1,0.9,3.3
434,Gary Payton II,PG,29,GSW,60,14,17.1,3,4.8,0.612,0.7,1.8,0.364,2.3,3,0.758,0.68,0.5,0.9,0.574,1,2.5,3.4,0.8,1.4,0.3,0.5,1.8,7.1
435,Norvel Pelle,C,28,UTA,3,0,6.3,1,1.7,0.6,0,0,0,1,1.7,0.6,0.6,0,0,0,1,1,2,0,0,0.3,0.7,0.3,2
436,Reggie Perry,PF,21,TOT,3,0,17,1.7,3.3,0.5,0.3,0.7,0.5,1.3,2.7,0.5,0.55,0.7,0.7,1,0.7,2,2.7,0.7,0.3,0,0.3,3,4.3
436,Reggie Perry,PF,21,POR,2,0,20.5,2,4.5,0.444,0.5,1,0.5,1.5,3.5,0.429,0.5,1,1,1,1,2.5,3.5,1,0.5,0,0.5,3,5.5
436,Reggie Perry,PF,21,IND,1,0,10,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,3,2
437,Jamorko Pickett,PF,24,DET,6,0,7.8,0.2,1.7,0.1,0.2,1.2,0.143,0,0.5,0,0.15,0,0,0,0.3,1.2,1.5,0.2,0,0.2,0.5,0.5,0.5
438,Theo Pinson,SF,26,DAL,16,0,7.5,0.6,2,0.281,0.4,1.6,0.24,0.2,0.4,0.429,0.375,0.3,0.3,1,0.1,1.1,1.2,0.8,0.3,0.1,0.1,0.6,1.8
439,Mason Plumlee,C,31,CHO,56,56,25.3,2.9,4.5,0.63,0,0,0,2.9,4.5,0.635,0.63,0.9,2.4,0.363,2.6,5.5,8.1,3,0.9,0.6,1.3,3.1,6.6
440,Jakob Poeltl,C,26,SAS,53,52,29.3,6.1,9.8,0.619,0,0,1,6.1,9.8,0.618,0.62,1.3,2.8,0.466,3.8,5.3,9.1,3,0.8,1.8,1.6,3.1,13.5
441,Aleksej Pokusevski,PF,20,OKC,48,5,17.7,2.6,6.5,0.399,0.8,2.8,0.273,1.8,3.7,0.492,0.457,0.3,0.4,0.619,1.1,3.6,4.7,1.4,0.6,0.6,1.2,1.2,6.2
442,Yves Pons,SF,22,MEM,7,0,3.1,0.1,0.4,0.333,0.1,0.1,1,0,0.3,0,0.5,0,0.3,0,0.3,0.4,0.7,0,0,0,0,0.3,0.4
443,Jordan Poole,SG,22,GSW,58,35,28.6,5.6,12.6,0.442,2.3,6.8,0.338,3.2,5.7,0.566,0.534,2.9,3.1,0.927,0.5,2.6,3.1,3.5,0.8,0.3,2.3,2.5,16.3
444,Kevin Porter Jr.,PG,21,HOU,43,43,30.3,4.8,12,0.398,2.3,6.1,0.371,2.5,5.9,0.425,0.492,2,3.3,0.592,0.7,3.2,3.9,6.1,1.2,0.3,3.4,2.6,13.8
445,Michael Porter Jr.,SF,23,DEN,9,9,29.4,4.1,11.4,0.359,1.1,5.3,0.208,3,6.1,0.491,0.408,0.6,1,0.556,1,5.6,6.6,1.9,1.1,0.2,1.3,1.8,9.9
446,Otto Porter Jr.,PF,28,GSW,53,14,21.4,3.1,6.5,0.47,1.3,3.5,0.38,1.7,3,0.576,0.572,0.7,0.9,0.787,1.1,4.2,5.3,1.5,1.2,0.5,0.5,1.4,8.2
447,Bobby Portis,C,26,MIL,56,51,29,6,12.5,0.484,2.1,4.9,0.415,4,7.5,0.53,0.567,1.4,1.9,0.74,2.5,6.5,9.1,1.2,0.8,0.8,1.4,2.6,15.5
448,Kristaps Porzi??is,PF,26,TOT,35,35,29.2,6.7,14.9,0.454,1.5,5.1,0.294,5.3,9.8,0.536,0.504,4.4,5.1,0.861,1.9,5.7,7.6,2,0.7,1.7,1.5,2.6,19.4
448,Kristaps Porzi??is,PF,26,DAL,34,34,29.5,6.7,14.9,0.451,1.4,5.1,0.283,5.3,9.9,0.537,0.499,4.3,5,0.865,1.9,5.8,7.7,2,0.7,1.7,1.6,2.6,19.2
448,Kristaps Porzi??is,PF,26,WAS,1,1,21,7,12,0.583,3,4,0.75,4,8,0.5,0.708,8,10,0.8,1,4,5,0,0,2,0,3,25
449,Micah Potter,C,23,DET,3,0,10.3,1.7,3.7,0.455,0,0.7,0,1.7,3,0.556,0.455,0.7,0.7,1,1.3,1.7,3,0,0.3,0.3,0.3,1.3,4
450,Dwight Powell,C,30,DAL,64,53,20.9,2.9,4.4,0.652,0.2,0.5,0.394,2.7,3.9,0.687,0.676,1.7,2.3,0.743,2,2.5,4.6,1.1,0.5,0.4,0.8,2.6,7.6
451,Myles Powell,PG,24,PHI,11,0,4.7,0.5,1.5,0.294,0.1,0.5,0.167,0.4,1,0.364,0.324,0.2,0.2,1,0.1,0.5,0.5,0.3,0.1,0,0.3,0.7,1.2
452,Norman Powell,SF-SG,28,TOT,43,41,32.9,6.2,13.6,0.457,2.3,5.7,0.407,3.9,7.9,0.493,0.542,4.1,5.1,0.807,0.5,2.8,3.3,2.2,1,0.4,1.6,2.3,18.8
452,Norman Powell,SF,28,POR,40,39,33.3,6.2,13.6,0.456,2.3,5.7,0.406,3.9,7.8,0.492,0.542,4,5,0.803,0.4,2.9,3.3,2.1,1,0.4,1.6,2.3,18.7
452,Norman Powell,SG,28,LAC,3,2,26.7,6.7,14,0.476,2,4.7,0.429,4.7,9.3,0.5,0.548,5.7,6.7,0.85,1,2,3,4,0.7,0.7,1.7,2.7,21
453,Joshua Primo,SG,19,SAS,34,4,16.1,1.7,4.6,0.378,0.8,2.4,0.337,0.9,2.1,0.425,0.468,0.7,0.9,0.75,0.7,1.2,1.9,1.4,0.4,0.5,0.9,1.4,5
454,Taurean Prince,PF,27,MIN,53,8,15.8,2.3,4.9,0.465,1.1,2.9,0.39,1.1,2,0.577,0.581,0.7,0.9,0.783,0.4,2,2.3,1,0.7,0.3,0.8,1.4,6.3
455,Payton Pritchard,SG,24,BOS,55,2,12.8,1.9,4.7,0.396,1.1,2.9,0.375,0.8,1.8,0.43,0.512,0.3,0.3,1,0.4,1.3,1.7,1.8,0.2,0.1,0.6,0.8,5.1
456,Trevelin Queen,SG,24,HOU,9,0,7.9,1.7,3.4,0.484,1,2.6,0.391,0.7,0.9,0.75,0.629,0.4,0.4,1,0.7,1,1.7,0.3,0.6,0,0.8,0.7,4.8
457,Neemias Queta,C,22,SAC,10,0,5.6,0.9,2.3,0.391,0,0,0,0.9,2.3,0.391,0.391,0.3,0.5,0.6,1.1,0.8,1.9,0.4,0.1,0.4,0.4,1.1,2.1
458,Immanuel Quickley,PG,22,NYK,60,2,21.5,3.3,8.6,0.379,1.7,4.9,0.338,1.6,3.7,0.432,0.475,1.7,1.8,0.925,0.4,2.2,2.6,3,0.6,0.1,1.3,2.2,9.8
459,Jahmi'us Ramsey,SG,20,SAC,19,0,7.1,1.3,3.1,0.414,0.3,0.9,0.278,1,2.1,0.475,0.457,0.4,0.7,0.5,0.2,0.5,0.7,0.4,0.1,0.1,0.3,0.5,3.2
460,Julius Randle,PF,27,NYK,62,62,35.4,7,16.9,0.414,1.5,5.1,0.3,5.5,11.8,0.464,0.459,4.1,5.3,0.764,1.8,8.2,10,5.2,0.7,0.5,3.5,2.8,19.6
461,Austin Reaves,SG,23,LAL,44,5,21.9,2.1,4.5,0.467,0.8,2.5,0.321,1.3,1.9,0.659,0.558,1.1,1.4,0.833,0.6,2,2.6,1.4,0.4,0.4,0.5,1.5,6.1
462,Cam Reddish,SF,22,TOT,48,7,20.8,3.4,8.4,0.405,1.4,3.8,0.359,2,4.6,0.443,0.486,2.1,2.3,0.902,0.5,1.6,2.1,1,1,0.3,1.2,1.2,10.3
462,Cam Reddish,SF,22,ATL,34,7,23.4,4.1,10.1,0.402,1.7,4.5,0.379,2.4,5.6,0.421,0.487,2.1,2.4,0.9,0.6,1.9,2.5,1.1,1,0.3,1.3,1.3,11.9
462,Cam Reddish,SF,22,NYK,14,0,14.2,1.9,4.4,0.419,0.6,2.2,0.258,1.3,2.2,0.581,0.484,2.1,2.3,0.906,0.2,1.1,1.3,0.6,0.8,0.2,0.9,1,6.4
463,Davon Reed,SG,26,DEN,33,3,12.9,1.5,3.2,0.471,0.8,1.7,0.439,0.7,1.4,0.511,0.591,0.2,0.2,0.857,0.3,2,2.4,0.9,0.5,0.1,0.2,1.3,3.9
464,Paul Reed,C,22,PHI,27,2,8.7,1,2.3,0.459,0,0.2,0.2,1,2.1,0.482,0.467,0.1,0.4,0.4,1.1,1.3,2.4,0.4,0.7,0.4,0.3,1.4,2.3
465,Naz Reid,C,22,MIN,62,5,15.9,3,6.2,0.488,0.7,2.1,0.341,2.3,4.1,0.563,0.545,1.4,1.9,0.746,1.3,2.4,3.7,0.9,0.4,1,1,2.1,8.2
466,Nick Richards,C,24,CHO,42,5,8.2,1.3,2,0.683,0,0,0,1.3,2,0.683,0.683,0.7,1,0.698,0.7,1.2,1.9,0.3,0.2,0.5,0.5,1.2,3.4
467,Josh Richardson,SG,28,TOT,48,0,23.8,3.3,7.5,0.436,1.4,3.4,0.399,1.9,4.1,0.467,0.526,1.3,1.5,0.859,0.6,2.1,2.7,1.5,0.7,0.5,0.8,1.8,9.2
467,Josh Richardson,SG,28,BOS,44,0,24.7,3.5,7.8,0.443,1.4,3.5,0.397,2,4.3,0.481,0.534,1.4,1.6,0.859,0.6,2.3,2.8,1.5,0.8,0.5,0.9,1.9,9.7
467,Josh Richardson,SG,28,SAS,4,0,13.3,1.3,4.3,0.294,0.8,1.8,0.429,0.5,2.5,0.2,0.382,0,0,0,0.8,0.3,1,2,0.3,0.3,0.3,1.5,3.3
468,Austin Rivers,SG,29,DEN,49,13,21.2,2.2,5.3,0.42,1.2,3.5,0.343,1,1.8,0.567,0.532,0.4,0.6,0.667,0.3,1.3,1.7,1.2,0.8,0.1,0.8,1.7,6.1
469,Duncan Robinson,SG,27,MIA,62,57,26.8,3.8,9.6,0.396,3,8.1,0.365,0.8,1.4,0.573,0.551,0.6,0.8,0.833,0.4,2.5,2.9,1.6,0.6,0.2,0.9,2.7,11.2
470,Justin Robinson,PG,24,TOT,25,0,12.2,1.1,3.7,0.301,0.7,2.4,0.295,0.4,1.3,0.313,0.398,0.2,0.3,0.5,0.2,0.7,0.8,1.3,0.4,0,0.7,1.1,3.1
470,Justin Robinson,PG,24,MIL,17,0,11.6,1.1,3.4,0.316,0.6,2.2,0.27,0.5,1.2,0.4,0.404,0.1,0.1,1,0.1,0.6,0.8,1.2,0.5,0,0.6,1,2.8
470,Justin Robinson,PG,24,SAC,3,0,5,0.3,2.7,0.125,0,1,0,0.3,1.7,0.2,0.125,0,0,0,0,0.3,0.3,0.7,0,0,0.3,0.7,0.7
470,Justin Robinson,PG,24,DET,5,0,18.2,1.8,5.6,0.321,1.6,4.2,0.381,0.2,1.4,0.143,0.464,0.4,1.2,0.333,0.4,1,1.4,1.8,0.2,0.2,1,1.6,5.6
471,Mitchell Robinson,C,23,NYK,58,49,25.5,3.6,4.7,0.77,0,0,0,3.6,4.7,0.77,0.77,1.2,2.4,0.486,3.9,4.9,8.8,0.4,0.7,1.6,0.8,2.8,8.5
472,Jeremiah Robinson-Earl,C,21,OKC,44,36,23,2.7,6.6,0.401,1.1,3.4,0.333,1.5,3.2,0.472,0.486,0.7,1,0.714,1.6,4.2,5.8,1,0.6,0.3,0.8,1.7,7.1
473,Isaiah Roby,PF,23,OKC,27,12,17.7,3.2,6.2,0.515,0.7,1.7,0.422,2.5,4.5,0.549,0.572,1.3,1.8,0.735,1.6,2.6,4.2,1,0.7,0.5,0.9,2.2,8.4
474,Rajon Rondo,PG,35,TOT,32,1,18.5,1.8,4.9,0.378,0.8,2.4,0.329,1.1,2.5,0.425,0.458,0.5,0.7,0.739,0.4,2.6,3,4.3,0.8,0.2,1.9,1.5,5
474,Rajon Rondo,PG,35,LAL,18,0,16.1,1.3,3.9,0.324,0.4,1.7,0.267,0.8,2.3,0.366,0.38,0.1,0.1,0.5,0.6,2.2,2.7,3.7,0.7,0.3,1.9,1.4,3.1
474,Rajon Rondo,PG,35,CLE,14,1,21.7,2.6,6.1,0.424,1.2,3.3,0.37,1.4,2.8,0.487,0.524,1.1,1.5,0.762,0.2,3.1,3.4,5,1,0,2,1.6,7.5
475,Derrick Rose,PG,33,NYK,26,4,24.5,4.7,10.5,0.445,1.4,3.5,0.402,3.3,7,0.467,0.513,1.2,1.2,0.968,0.8,2.2,3,4,0.8,0.5,1.5,0.6,12
476,Terrence Ross,SG,30,ORL,55,0,23.7,3.6,8.9,0.403,1.3,4.1,0.308,2.3,4.8,0.485,0.474,1.8,2.1,0.868,0.3,2.2,2.6,1.9,0.5,0.2,1.3,1.1,10.2
477,Terry Rozier,SG,27,CHO,56,56,33.9,7.1,16.2,0.438,3.1,8.2,0.375,4,8,0.502,0.533,2.1,2.6,0.833,0.8,3.6,4.4,4.4,1.2,0.4,1.3,1.6,19.4
478,Ricky Rubio,PG,31,CLE,34,8,28.5,4.4,12.1,0.363,1.7,5.1,0.339,2.6,7,0.38,0.434,2.6,3,0.854,0.4,3.7,4.1,6.6,1.4,0.2,2.6,2.2,13.1
479,D'Angelo Russell,PG,25,MIN,51,51,32.2,6.6,15.8,0.419,2.9,8.4,0.35,3.7,7.4,0.497,0.512,3.1,3.8,0.824,0.4,3,3.4,7,1,0.4,2.6,2.2,19.3
480,Domantas Sabonis,C-PF,25,TOT,57,56,34.3,7.2,12.4,0.58,0.6,2.1,0.314,6.5,10.3,0.633,0.606,3.6,5,0.729,3.3,8.9,12.2,5.2,0.9,0.4,3.1,3.3,18.6
480,Domantas Sabonis,C,25,IND,47,46,34.7,7,12.1,0.58,0.7,2.3,0.324,6.3,9.9,0.639,0.61,4.1,5.5,0.74,3.3,8.8,12.1,5,1,0.5,3,3.1,18.9
480,Domantas Sabonis,PF,25,SAC,10,10,32.3,7.7,13.3,0.579,0.2,1,0.2,7.5,12.3,0.61,0.586,1.6,2.6,0.615,3.5,9.3,12.8,6,0.8,0.3,3.6,4,17.2
481,Olivier Sarr,C,22,OKC,8,0,14,2.1,4,0.531,0.3,1,0.25,1.9,3,0.625,0.563,0.8,1,0.75,1.3,2.4,3.6,0.5,0.3,0.5,0.8,1.8,5.3
482,Tom  Satoransk?,SG,30,TOT,36,3,14.8,1,3.1,0.319,0.2,0.9,0.182,0.8,2.2,0.375,0.345,0.8,0.9,0.794,0.5,1.4,2,2.3,0.4,0.1,0.7,1,2.9
482,Tom  Satoransk?,SG,30,NOP,32,3,15,1,3.3,0.299,0.2,1,0.161,0.8,2.4,0.355,0.322,0.6,0.8,0.76,0.6,1.4,2,2.4,0.4,0,0.7,1,2.8
482,Tom  Satoransk?,SG,30,SAS,1,0,9,0,0,0,0,0,0,0,0,0,0,3,4,0.75,0,1,1,0,0,0,0,0,3
482,Tom  Satoransk?,SG,30,WAS,3,0,14.7,1.3,2,0.667,0.3,0.7,0.5,1,1.3,0.75,0.75,1.7,1.7,1,0.3,1.7,2,2.7,0.7,0.3,0.7,1.3,4.7
483,Jordan Schakel,SG,23,WAS,2,0,7,0,3,0,0,1.5,0,0,1.5,0,0,0,0,0,1,0.5,1.5,0,0,0,0,0,0
484,Admiral Schofield,SF,24,ORL,29,1,10.3,1.2,2.7,0.456,0.5,1.6,0.311,0.8,1.2,0.647,0.544,0.2,0.3,0.7,0.4,1.5,1.9,0.6,0.1,0.1,0.5,1.2,3.2
485,Dennis Schr der,SG-PG,28,TOT,55,29,29.4,5.1,11.8,0.429,1.3,4,0.336,3.7,7.8,0.477,0.486,2.5,2.9,0.851,0.6,2.9,3.5,4.6,0.8,0.1,2.3,2.5,14
485,Dennis Schr der,SG,28,BOS,49,25,29.2,5.2,11.9,0.44,1.4,3.9,0.349,3.9,8,0.485,0.497,2.5,3,0.848,0.6,2.8,3.3,4.2,0.8,0.1,2.1,2.4,14.4
485,Dennis Schr der,PG,28,HOU,6,4,30.5,3.7,11,0.333,1.2,4.7,0.25,2.5,6.3,0.395,0.386,2.3,2.7,0.875,1,3.5,4.5,7.5,0.5,0.2,3.5,3.3,10.8
486,Tre Scott,SF,25,CLE,2,0,5.5,1.5,3,0.5,0,0.5,0,1.5,2.5,0.6,0.5,0,0,0,0.5,0.5,1,0,0.5,0.5,0,1,3
487,Jay Scrubb,SG,21,LAC,18,0,6.7,1,2.6,0.391,0.3,1.2,0.286,0.7,1.4,0.48,0.457,0.4,0.6,0.7,0.1,0.8,0.9,0.4,0.2,0.2,0.4,0.5,2.7
488,Wayne Selden,SG,27,NYK,3,0,6.3,0.3,1.3,0.25,0.3,0.7,0.5,0,0.7,0,0.375,0.7,1.3,0.5,0,0.3,0.3,0.3,0,0,0,0.3,1.7
489,Alperen  eng n,C,19,HOU,56,5,18.9,3.1,6.6,0.473,0.4,1.4,0.25,2.8,5.1,0.535,0.5,2.2,3.2,0.691,1.7,3.2,4.9,2.4,0.8,1,2,2.9,8.8
490,Collin Sexton,SG,23,CLE,11,11,28.7,6.2,13.7,0.45,1,4.1,0.244,5.2,9.6,0.538,0.487,2.6,3.5,0.744,1.2,2.1,3.3,2.1,0.9,0,2.8,2.3,16
491,Landry Shamet,SG,24,PHO,51,10,20.1,2.4,6.6,0.369,1.6,4.5,0.355,0.8,2.1,0.4,0.491,1.1,1.3,0.848,0.2,1.7,1.9,1.6,0.5,0.1,0.5,1.3,7.6
492,Day'Ron Sharpe,PF,20,BRK,32,8,12.2,2.7,4.7,0.577,0.1,0.2,0.286,2.6,4.4,0.592,0.584,0.8,1.3,0.585,2.5,2.5,5,0.5,0.3,0.5,0.9,1.9,6.2
493,Pascal Siakam,PF,27,TOR,51,51,37.6,8.3,17.1,0.483,1,3,0.338,7.2,14.1,0.515,0.513,4,5.4,0.736,2,6.4,8.4,5,1.3,0.7,2.7,3.5,21.5
494,Chris Silva,PF,25,TOT,10,0,9.1,0.8,1.5,0.533,0,0,0,0.8,1.5,0.533,0.533,1,1.2,0.833,1.3,2.3,3.6,0.7,0,0.1,0.8,2,2.6
494,Chris Silva,PF,25,MIN,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
494,Chris Silva,PF,25,MIA,9,0,9.8,0.9,1.7,0.533,0,0,0,0.9,1.7,0.533,0.533,1.1,1.3,0.833,1.4,2.4,3.9,0.8,0,0.1,0.9,2.2,2.9
495,Marko Simonovic,C,22,CHI,9,0,3.9,0.4,1.7,0.267,0.1,0.6,0.2,0.3,1.1,0.3,0.3,0.9,1.2,0.727,0.6,0.6,1.1,0,0.1,0.1,0.2,0.7,1.9
496,Anfernee Simons,SG,22,POR,57,30,29.5,6.2,14,0.443,3.1,7.8,0.405,3.1,6.2,0.49,0.555,1.8,2,0.888,0.5,2.2,2.6,3.9,0.5,0.1,2,1.9,17.3
497,Jericho Sims,PF,23,NYK,23,0,8.6,0.5,0.7,0.647,0,0,0,0.5,0.7,0.647,0.647,0.2,0.4,0.4,1,1.6,2.6,0.3,0.2,0.4,0.2,1.3,1.1
498,Deividas Sirvydis,SG,21,DET,3,0,9,0.3,3.3,0.1,0.3,2.3,0.143,0,1,0,0.15,0,0,0,0,2,2,0.3,1,0.3,0,1.3,1
499,Javonte Smart,PG,22,TOT,14,1,11.5,0.8,3.1,0.256,0.3,1.3,0.222,0.5,1.8,0.28,0.302,0.4,0.4,0.833,0.3,1.1,1.4,1,0.3,0.1,0.6,0.8,2.2
499,Javonte Smart,PG,22,MIL,13,1,12.3,0.8,3.3,0.256,0.3,1.4,0.222,0.5,1.9,0.28,0.302,0.4,0.5,0.833,0.3,1.2,1.5,1.1,0.3,0.2,0.7,0.8,2.4
499,Javonte Smart,PG,22,MIA,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500,Marcus Smart,PG,27,BOS,56,56,32.8,4.1,9.9,0.414,1.6,4.9,0.326,2.5,5.1,0.498,0.494,2.1,2.7,0.792,0.6,3.3,3.9,5.6,1.7,0.3,2.1,2.4,11.9
501,Dennis Smith Jr.,PG,24,POR,37,4,17.2,2.1,5.1,0.418,0.2,0.7,0.222,2,4.4,0.451,0.434,1.1,1.7,0.656,0.5,1.8,2.4,3.6,1.2,0.3,1.4,1.4,5.6
502,Ish Smith,PG,33,TOT,46,1,15.5,2.5,5.7,0.435,0.3,0.8,0.385,2.1,4.8,0.443,0.463,0.3,0.4,0.6,0.4,1.5,1.9,3.2,0.6,0.3,1.1,1.2,5.5
502,Ish Smith,PG,33,CHO,37,1,13.8,2,5,0.395,0.3,0.7,0.4,1.7,4.3,0.394,0.422,0.3,0.5,0.632,0.3,1.2,1.5,2.6,0.5,0.3,1,0.9,4.5
502,Ish Smith,PG,33,WAS,9,0,22.3,4.4,8.3,0.533,0.6,1.6,0.357,3.9,6.8,0.574,0.567,0,0.1,0,0.8,2.6,3.3,5.2,0.9,0.4,1.6,2.3,9.4
503,Jalen Smith,PF,21,TOT,39,7,16.4,2.9,5.7,0.5,0.6,2,0.321,2.2,3.7,0.596,0.556,1.5,1.9,0.784,1.9,3.7,5.6,0.4,0.3,0.6,0.9,1.8,7.9
503,Jalen Smith,PF,21,PHO,29,4,13.2,2.2,4.7,0.46,0.3,1.3,0.231,1.9,3.4,0.551,0.493,1.4,1.8,0.769,1.9,2.9,4.8,0.2,0.2,0.6,0.8,1.8,6
503,Jalen Smith,PF,21,IND,10,3,25.9,4.9,8.7,0.563,1.6,3.9,0.41,3.3,4.8,0.688,0.655,1.8,2.2,0.818,1.9,6.2,8.1,1.1,0.4,0.7,1.2,1.8,13.2
504,Xavier Sneed,SF,24,MEM,2,0,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0.5,0.5,1,0,0,0,0,1,0
505,Tony Snell,SG,30,TOT,46,10,15.5,1.3,3.1,0.415,0.9,2.4,0.369,0.4,0.7,0.581,0.56,0.1,0.1,1,0.3,1.8,2.2,0.5,0.3,0.2,0.3,1.3,3.5
505,Tony Snell,SG,30,POR,38,10,14.4,0.9,2.6,0.371,0.6,2,0.32,0.3,0.6,0.545,0.495,0.1,0.1,1,0.3,1.6,1.9,0.5,0.2,0.2,0.3,1.2,2.6
505,Tony Snell,SG,30,NOP,8,0,20.6,2.9,5.6,0.511,2.1,4.5,0.472,0.8,1.1,0.667,0.7,0,0,0,0.5,2.9,3.4,0.6,0.5,0,0.5,2.1,7.9
