Player,Rating
Stephen Curry,96
Kevin Durant,96
LeBron James,96
Giannis Antetokounmpo,96
Nikola Jokic,95
Joel Embiid,95
Kawhi Leonard,95
Luka Doncic,94
Damian Lillard,94
James Harden,94
Anthony Davis,93
Jimmy Butler,91
Kyrie Irving,91
Jayson Tatum,90
Devin Booker,90
Chris Paul,90
Zion Williamson,89
Trae Young,89
Bradley Beal,89
Khris Middleton,88
Rudy Gobert,88
Donovan Mitchell,88
Paul George,88
Julius Randle,87
Zach LaVine,87
Klay Thompson,87
Karl-Anthony Towns,87
Clint Capela,86
Shai Gilgeous-Alexander,86
Jaylen Brown,86
Deandre Ayton,86
Domantas Sabonis,86
Bam Adebayo,86
Russell Westbrook,86
Jrue Holiday,85
Tobias Harris,85
CJ McCollum,85
Jamal Murray,85
Ja Morant,85
De'Aaron Fox,85
Nikola Vucevic,85
DeMar DeRozan,85
LaMelo Ball,84
Michael Porter,84
John Collins,84
Brandon Ingram,84
Kristaps Porzingis,84
Ben Simmons,84
RJ Barrett,83
Mike Conley,83
Christian Wood,83
Jonas Valanciunas,83
Derrick Rose,83
John Wall,83
Jaren Jackson Jr,83
Gordon Hayward,83
D'Angelo Russell,83
Kemba Walker,83
Kyle Lowry,83
Pascal Siakam,83
Darius Garland,82
Mikal Bridges,82
Lonzo Ball,82
Jerami Grant,82
Terry Rozier,82
Dejounte Murray,82
Collin Sexton,82
Jarrett Allen,82
Spencer Dinwiddie,82
Malcolm Brogdon,82
Caris LeVert,82
TJ Warren,82
Fred VanVleet,82
Anthony Edwards,81
Tyrese Haliburton,81
Jusuf Nurkic,81
Cade Cunningham,80
De'Andre Hunter,80
Reggie Jackson,80
Keldon Johnson,80
Norman Powell,80
Malik Beasley,80
Joe Ingles,80
Wendell Carter,80
Draymond Green,80
Bogdan Bogdanovic,80
Mitchell Robinson,80
Victor Oladipo,80
Jonathan Isaac,80
Andrew Wiggins,80
Jalen Green,79
Robert Williams,79
Kyle Anderson,79
Thaddeus Young,79
Enes Kanter,79
Mason Plumlee,79
Joe Harris,79
Donte DiVincenzo,79
Chris Boucher,79
Bobby Portis,79
Tyler Herro,79
Tim Hardaway Jr,79
Richaun Holmes,79
Jordan Clarkson,79
Thomas Bryant,79
OG Anunoby,79
Myles Turner,79
Serge Ibaka,79
Marcus Smart,79
Lauri Markkanen,79
Evan Fournier,79
Dennis Schroeder,79
Al Horford,79
Buddy Hield,79
Steven Adams,79
Brook Lopez,79
Danilo Gallinari,79
LaMarcus Aldridge,79
Andre Drummond,79
Paul Millsap,78
Immanuel Quickley,78
Saddiq Bey,78
Isaiah Stewart,78
Evan Mobley,78
Luguentz Dort,78
TJ McConnell,78
Daniel Gafford,78
Kendrick Nunn,78
Nerlens Noel,78
Kelly Olynyk,78
PJ Washington,78
Monte Morris,78
Miles Bridges,78
Jeremy Lamb,78
Jalen Brunson,78
Dillon Brooks,78
Coby White,78
Terrence Ross,78
Marcus Morris,78
Ivica Zubac,78
Harrison Barnes,78
Eric Gordon,78
Dwight Howard,78
Duncan Robinson,78
Cody Zeller,78
Carmelo Anthony,78
Rui Hachimura,78
Rudy Gay,78
Robert Covington,78
Ricky Rubio,78
Goran Dragic,78
Devonte Graham,78
Derrick White,78
Aaron Gordon,78
Marvin Bagley,78
Kevin Love,78
Hassan Whiteside,78
Blake Griffin,78
Facundo Campazzo,77
Cole Anthony,77
James Wiseman,77
Jae'Sean Tate,77
Jalen Suggs,77
Moses Brown,77
Hamidou Diallo,77
Terance Mann,77
Nicolas Batum,77
Bruce Brown,77
Kevin Porter,77
Kevin Huerter,77
Josh Hart,77
Danny Green,77
Kyle Kuzma,77
Jakob Poeltl,77
Dario Saric,77
Cameron Johnson,77
Patrick Mills,77
Markelle Fultz,77
Jae Crowder,77
Gary Trent Jr,77
Derrick Favors,77
Alec Burks,77
Seth Curry,77
Otto Porter,77
Will Barton,77
Tristan Thompson,77
Larry Nance Jr,77
Brandon Clarke,77
Kelly Oubre,77
Bojan Bogdanovic,77
Montrezl Harrell,77
DeAndre Jordan,76
KJ Martin,76
Davion Mitchell,76
Obi Toppin,76
Xavier Tillman,76
Desmond Bane,76
Payton Pritchard,76
Tyrese Maxey,76
Scottie Barnes,76
Oshae Brissett,76
Talen Horton-Tucker,76
Naz Reid,76
Khem Birch,76
Jordan Poole,76
JaMychal Green,76
Robin Lopez,76
Nicolas Claxton,76
David Nwaba,76
Cam Reddish,76
Torrey Craig,76
Royce O'Neale,76
Cameron Payne,76
Alex Caruso,76
Shake Milton,76
Malik Monk,76
Frank Kaminsky,76
Delon Wright,76
Rajon Rondo,76
Mo Bamba,76
Maxi Kleber,76
Jeff Green,76
Jaxson Hayes,76
Doug McDermott,76
Dorian Finney-Smith,76
Alex Len,76
Taj Gibson,76
Patrick Beverley,76
JaVale McGee,76
Eric Paschall,76
Davis Bertans,76
Daniel Theis,76
Josh Richardson,76
Louis Williams,76
Eric Bledsoe,76
Juan Toscano-Anderson,75
Jonathan Kuminga,75
Saben Lee,75
Jaden McDaniels,75
Precious Achiuwa,75
Deni Avdija,75
Patrick Williams,75
Josh Giddey,75
Chuma Okeke,75
Ty Jerome,75
Nickeil Alexander-Walker,75
Edmond Sumner,75
Abdel Nader,75
Wayne Ellington,75
Tony Snell,75
Grayson Allen,75
Anfernee Simons,75
Raul Neto,75
Lonnie Walker,75
Josh Jackson,75
Darius Bazley,75
Cory Joseph,75
Juan Hernangomez,75
Bryn Forbes,75
Willy Hernangomez,75
Matisse Thybulle,75
Furkan Korkmaz,75
De'Anthony Melton,75
Tyus Jones,75
Trey Burke,75
Tomas Satoransky,75
Kris Dunn,75
Dwight Powell,75
Willie Cauley-Stein,75
Marc Gasol,75
George Hill,75
Nemanja Bjelica,75
Luke Kennard,75
Sviatoslav Mykhailiuk,74
Marquese Chriss,74
Corey Kispert,74
Gabriel Deck,74
Aleksej Pokusevski,74
Devin Vassell,74
James Bouknight,74
Onyeka Okongwu,74
Isaac Okoro,74
Theo Maledon,74
Franz Wagner,74
Yuta Watanabe,74
Drew Eubanks,74
Isaiah Roby,74
Jalen McDaniels,74
Alize Johnson,74
Jaylen Nowell,74
Kenrich Williams,74
Frank Jackson,74
John Konchar,74
Reggie Bullock,74
Dewayne Dedmon,74
Taurean Prince,74
Mike Muscala,74
Goga Bitadze,74
Chimezie Metu,74
Trevor Ariza,74
Kent Bazemore,74
Josh Okogie,74
Gorgui Dieng,74
Tony Bradley,74
Kentavious Caldwell-Pope,74
Derrick Jones,74
Boban Marjanovic,74
Austin Rivers,74
Terence Davis,74
PJ Tucker,74
Moritz Wagner,74
Jahlil Okafor,74
Justise Winslow,74
Elfrid Payton,74
Anthony Gill,73
Moses Moody,73
Alperen Sengun,73
Chris Duarte,73
Malachi Flynn,73
RJ Hampton,73
Jalen Johnson,73
Keon Johnson,73
Jordan Nwora,73
Max Strus,73
Semi Ojeleye,73
Rodney McGruder,73
Dylan Windler,73
Nassir Little,73
Pat Connaughton,73
Jevon Carter,73
Georges Niang,73
Landry Shamet,73
Kevon Looney,73
Damion Lee,73
Zach Collins,73
Trey Lyles,73
Justin Holiday,73
James Johnson,73
Ishmael Smith,73
Gary Harris,73
DJ Augustin,73
Andre Iguodala,73
Aaron Holiday,73
Jabari Parker,73
Keita Bates-Diop,72
Dennis Smith,72
Tre Mann,72
Trey Murphy,72
Naji Marshall,72
Isaiah Jackson,72
Kira Lewis,72
Zeke Nnaji,72
Vernon Carey,72
Kai Jones,72
Omer Yurtseven,72
Ziaire Williams,72
Aaron Nesmith,72
Paul Reed,72
Usman Garuba,72
Mychal Mulder,72
Kelan Martin,72
Dean Wade,72
Sterling Brown,72
Cody Martin,72
Javonte Green,72
PJ Dozier,72
Moe Harkless,72
Kevin Knox,72
Gary Payton II,72
Chris Chiozza,72
Jake Layman,72
DeAndre Bembry,72
Jarrett Culver,72
Garrett Temple,72
Markieff Morris,72
Cedi Osman,72
Rodney Hood,72
Michael Carter-Williams,72
Danuel House,72
Leandro Bolmaro,71
Josh Primo,71
Bones Hyland,71
Tacko Fall,71
Harry Giles,71
Chandler Hutchison,71
Nathan Knight,71
Tre Jones,71
Freddie Gillespie,71
Day'Ron Sharpe,71
Cam Thomas,71
Luca Vildoza,71
Quentin Grimes,71
Jalen Smith,71
Skylar Mays,71
Sam Merrill,71
Daniel Oturu,71
Lamar Stevens,71
Jaden Springer,71
Isaiah Joe,71
Killian Hayes,71
Josh Green,71
Thanasis Antetokounmpo,71
Bol Bol,71
Wesley Iwundu,71
Sekou Doumbouya,71
Luka Samanic,71
Bruno Fernando,71
Matt Thomas,71
Damian Jones,71
Ben McLemore,71
Al-Farouq Aminu,71
Troy Brown,71
Herb Jones,70
Santi Aldama,70
Isaiah Todd,70
Jeremiah Robinson-Earl,70
Josh Christopher,70
Tyrell Terry,70
Miles McBride,70
Jahmi'us Ramsey,70
Robert Woodard,70
Jared Butler,70
Udoka Azubuike,70
JT Thor,70
Jason Preston,70
Ayo Dosunmu,70
Marko Simonovic,70
Elijah Bryant,70
Jarrell Brantley,70
Gabe Vincent,70
Miye Oni,70
Vlatko Cancar,70
Wenyen Gabriel,70
Udonis Haslem,70
Carsen Edwards,70
Solomon Hill,70
KZ Okpala,70
Grant Williams,70
Mfiondu Kabengele,70
Isaac Bonga,70
Damyean Dotson,70
Cassius Winston,69
Isaiah Livers,69
BJ Boston,69
Charlie Brown,69
Greg Brown,69
Dalano Banton,69
Trent Forrest,69
Elijah Hughes,69
Nick Richards,69
Killian Tillie,69
Devon Dotson,69
Mamadi Diakite,69
Grant Riller,69
Khyri Thomas,69
Romeo Langford,69
Ignas Brazdeikis,69
Anthony Lamb,68
Louis King,68
CJ Elleby,68
Didi Louzada,68
Jay Scrubb,67
Markus Howard,67
Josh Hall,66
